# Shot 159243 from 350ms - 550ms
#shot          time          q0            q95           ip            cerqrott1     betan         cerqrott6     
159243        514.0         0.717704      0.649798      4.30587       6.6329        -41.9191      -9.16658      
159243        515.0         0.719068      0.649798      4.30587       6.6329        -41.9191      -9.16658      
159243        516.0         0.720177      0.649798      4.30587       6.6329        -41.9191      -9.16658      
159243        517.0         0.721081      0.649798      4.30587       6.6329        -43.0314      -9.34677      
159243        518.0         0.721735      0.649798      4.30587       6.6329        -43.0314      -9.34677      
159243        519.0         0.722784      0.649798      4.30587       6.6329        -44.0763      -9.38055      
159243        520.0         0.72393       0.649798      4.30587       6.6329        -44.0763      -9.38055      
159243        521.0         0.724869      0.649798      4.30587       6.6329        -44.0763      -9.38055      
159243        522.0         0.725948      0.649798      4.30587       6.6329        -44.874       -9.72964      
159243        523.0         0.726997      0.65549       4.18828       6.54894       -44.874       -9.72964      
159243        524.0         0.728173      0.65549       4.18828       6.54894       -45.638       -9.87602      
159243        525.0         0.729364      0.65549       4.18828       6.54894       -45.638       -9.87602      
159243        526.0         0.730331      0.65549       4.18828       6.54894       -45.638       -9.87602      
159243        527.0         0.731425      0.65549       4.18828       6.54894       -46.1661      -10.2364      
159243        528.0         0.732338      0.664884      4.1156        6.47156       -46.1661      -10.2364      
159243        529.0         0.733077      0.664884      4.1156        6.47156       -45.9976      -10.6305      
159243        530.0         0.733835      0.664884      4.1156        6.47156       -45.9976      -10.6305      
159243        531.0         0.734614      0.664884      4.1156        6.47156       -45.9976      -10.6305      
159243        532.0         0.735687      0.664884      4.1156        6.47156       -45.8403      -11.0697      
159243        533.0         0.736302      0.664884      4.1156        6.47156       -45.8403      -11.0697      
159243        534.0         0.736863      0.664884      4.1156        6.47156       -45.301       -11.4638      
159243        535.0         0.737284      0.664884      4.1156        6.47156       -45.301       -11.4638      
159243        536.0         0.737766      0.664884      4.1156        6.47156       -45.301       -11.4638      
159243        537.0         0.73847       0.664884      4.1156        6.47156       -44.8066      -11.8129      
159243        538.0         0.739148      0.664884      4.1156        6.47156       -44.8066      -11.8129      
159243        539.0         0.739882      0.664884      4.1156        6.47156       -44.11        -12.0269      
159243        540.0         0.740103      0.664884      4.1156        6.47156       -44.11        -12.0269      
159243        541.0         0.740558      0.664884      4.1156        6.47156       -44.11        -12.0269      
159243        542.0         0.741037      0.664884      4.1156        6.47156       -43.2674      -12.0156      
159243        543.0         0.741758      0.664884      4.1156        6.47156       -43.2674      -12.0156      
159243        544.0         0.742519      0.664884      4.1156        6.47156       -42.3461      -11.9593      
159243        545.0         0.74301       0.664884      4.1156        6.47156       -42.3461      -11.9593      
159243        546.0         0.743446      0.664884      4.1156        6.47156       -42.3461      -11.9593      
159243        547.0         0.74411       0.664884      4.1156        6.47156       -41.3349      -11.9481      
159243        548.0         0.744574      0.666875      3.95309       6.38104       -41.3349      -11.9481      
159243        549.0         0.744807      0.666875      3.95309       6.38104       -40.4361      -11.6778      
